establecimiento,filas,dataset
"('COLEGIO FUTURO AMANECER', 'alta_verapaz')",[],alta_verapaz
"('LICEO SAN CRISTOBAL', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO TECNOLOGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO CIENCIAS TECNOLÓGICAS', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CON ORIENTACION EN ARTES Y OFICIOS', 'alta_verapaz')",[],alta_verapaz
"('LICEO GALILEO GALILEI', 'alta_verapaz')",[],alta_verapaz
"('LICEO DE CIENCIAS APLICADAS DR. CARLOS ALDANA MENDOZA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO LA PUPILA DEL CIELO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO TECNOLÓGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO CIENCIAS TECNOLOGICAS', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MESON ', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO AKALTIC', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO BLAISE PASCAL', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO CRISTIANO PARTICULAR MIXTO VIDA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO NUESTRA SEÑORA DE LA ASUNCIÓN', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PRIVADO MIXTO LA ENSEÑANZA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO NUESTRA SEÑORA DE LA ASUNCION', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO TACTIC JV', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE FORMACIÓN ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL JACK & MARIE EITING', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE FORMACION ACADEMICA, TECNOLOGICA Y OCUPACIONAL JACK & MARIE EITING', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO MESOAMERICANO', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO VALLE DEL POLOCHIC', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PRIVADO LICEO POLOCHIC', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PRIVADO MIXTO SAGRADO CORAZÓN DEL POLOCHIC', 'alta_verapaz')",[],alta_verapaz
"('LICEO TECNOLÓGICO CAHABONCITO LITEC', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO SAN MARTIN DE PORRES', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PRIVADO MIXTO PRIMARIA BILINGUE AJ KUTUNEL', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO SAN MATEO', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓNSENAHÚ CEPREC SENAHÚ', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO DEL VALLE', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE NAUQ', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PRIVADO MIXTO DE FORMACION MAGISTERIAL CON ORIENTACION BILINGUE', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO NUEVA VIDA', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO ADOLFO V. HALL DEL NORTE', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO TECNICO DIVERSIFICADO DE BACHILLERATO EN CONSTRUCCION', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO STHELLA DE HERNANDEZ', 'alta_verapaz')",[],alta_verapaz
"('LICEO SAN PABLO', 'alta_verapaz')",[],alta_verapaz
"('LICEO INTERCULTURAL VERAPACENSE', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO SAN JOSÉ', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO STHELLA DE HERNÁNDEZ', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO DE EDUCACIÓN BÁSICA BILINGUE INTERCULTURAL LA TRINIDAD', 'alta_verapaz')",[],alta_verapaz
"('LICEO DE SUPERACIÓN A DISTANCIA VERAPACENSE', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO SAGRADA FAMILIA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO SALESIANO DON BOSCO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO DE EDUCACION BASICA BILINGÜE INTERCULTURAL LA TRINIDAD', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO PRIVADO NUEVA GENERACIÓN DEL NORTE', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO PARTICULAR DON BOSCO', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO DON BOSCO TZACANIJA', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO PRIVADO TALITA KUMI', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO TECNICO EXPERIMENTAL DE RECURSOS NATURALES', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO ISAIAS BARRIENTOS', 'alta_verapaz')",[],alta_verapaz
"('LICEO COEDUCATIVO PRIVADO JAVIER DE LA VERAPAZ', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO AK NALEB', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PRIVADO MIXTO DE DESARROLLO LOCAL', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO SAN FRANCISCO JAVIER DE LA VERAPAZ', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO KAIROS', 'alta_verapaz')",[],alta_verapaz
"('LICEO GUATEMALTECO VERAPACENSE', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO TECNICO EN RECURSOS NATURALES', 'alta_verapaz')",[],alta_verapaz
"('LICEO DE BACHILLERATO EN COMPUTACION Y EDUCACION PARA EL HOGAR MBM JM', 'alta_verapaz')",[],alta_verapaz
"('CENTRO EDUCATIVO MENONITA Q EQCHI BEZALEEL', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO PRIVADO FRANCISCO OSWALDO REYES NARCISO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO DE EDUCACIÒN BILINGÜE INTERCULTURAL IMEBI', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓNLANQUÍN CEPREC LANQUÍN', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON CEPREC', 'alta_verapaz')",[],alta_verapaz
"('LICEO LEONARDO DA VINCI L L D', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO AGROECOLÓGICO DE EDUCACIÓN BILINGUE FRAY DOMINGO DE VICO', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN CEPREC', 'alta_verapaz')",[],alta_verapaz
"('FUNDACIÓN FRAY DOMINGO DE VICO', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON CEPREC', 'alta_verapaz')",[],alta_verapaz
"('LICEO SANTA MARIA', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE SEPOC', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PARTICULAR RICARDO ARJONA', 'alta_verapaz')",[],alta_verapaz
"('LICEO MIXTO EN COMPUTACION DEL NORTE', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO CRISTIANO GALILEA', 'alta_verapaz')",[],alta_verapaz
"('LICEO MIXTO PRIVADO SENDEROS PARA LA VIDA', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO DE EDUCACIÓN FORTALEZA DEL FUTURO INMEFF', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO PRIVADO ASDECHI', 'alta_verapaz')",[],alta_verapaz
